path,2
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08314bdc66.wav,१०५ लगातार कट्स
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0860dbd771.wav,१० औँ शताब्दीमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08814f5d82.wav,१० दुखान्त नाटकको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08da6a4c1f.wav,१७ गते आइतबार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08269eb3ca.wav,१७ सबैभन्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087fe266ec.wav,२००३ मा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\082a592bf8.wav,२००७ धेरै
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0808797443.wav,२०२७ साल फागुनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087a9e4f34.wav,२०६० असार २९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08f3793b70.wav,२५ नेपाल र माल्दिभ्सलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\084a6c0de6.wav,२७ वर्षको उमेरदेखि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08480adfa1.wav,३२ संवैधानिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087d5b82f1.wav,४१ नयाँ नगरपालिका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08876be225.wav,६ जना छोराछोरी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08e6c0b169.wav,६ वर्षका लागि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08cb56472e.wav,८२ डिग्री १९
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08723f788b.wav,९ श्री टेकबहादुर थापा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08c4ae4138.wav,अग्रज पनि हुनुहुन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0830850d2b.wav,अङ्ग्रेजी मेँ नयाँ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0836a49533.wav,अचानक आक्रमण थियो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0886adfcd4.wav,अञ्चलको तेह्रथुम जिल्लामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\089b2f03c4.wav,अटोरिक्सा दिल्लीमा यातायातको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\083f308659.wav,अत्यन्तै रमणीय रहेकोले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08b58fd360.wav,अधिकारी उपनिवेशमा रमका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0840ba66bf.wav,अधिन छैनन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08a17a8d28.wav,अनुसार ४८ बालबालिकाहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08a16ca549.wav,अनुसार ढुसीले गर्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\080bfc2c17.wav,अनेक दुष्कर र
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0857dfdbc7.wav,अनेक विधिहरू प्रचलित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08e1f9c76b.wav,अन्तरलिन भारतीय उपन्यासकार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08977dbc92.wav,अन्तर्राष्ट्रिय आवागमन परिव्रजन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\089fe45114.wav,अन्धानुकरण गरेको छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08c13d1b15.wav,अन्नपूर्ण हिम श्रृङ्खला
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\086a447a55.wav,अन्य जनतासँग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\082eb29755.wav,अन्य भागहरू जस्ताको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08b2c65308.wav,अन्यायको विरुद्धमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0895fa1a49.wav,अप्ठ्यारो परेमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0841adcdaf.wav,अब्दुल कलामको जीवनमा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08eb0b631b.wav,अभियान साबित भएको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08c28a13f7.wav,अभिलेखका लागि माग
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087718fb7c.wav,अमितासित भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08c0d99f78.wav,अमृतसरी काम गर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08e0eb6b8c.wav,अमेरिका र क्यानाडामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\082485938d.wav,अरू उप जातिहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08d1a521dd.wav,अर्को भागतिर १७५
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\081f862a89.wav,अलेक्जेन्डरको फारस विजय
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087a9fcff3.wav,अविलम्ब र नाटकीय थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08d8d1dfd3.wav,अस्ट्रेलियाको नीतिलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\083bb1d313.wav,अस्ट्रेलियाली मारिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08e5c3bf20.wav,आइ इन द स्काई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0849acafc4.wav,आइन्सटाइन कलेज
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\088744947c.wav,आउट भए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\085949d913.wav,आउँ पर्दा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0859261524.wav,आएकी हुन र हालसम्म
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0812ea8069.wav,आक्रमण भै रहन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08c9c3bc33.wav,आख्यानअनुसार मञ्जुश्रीले
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08913cb533.wav,आगमन तुरुन्त
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\088a83b660.wav,आजको राजनैतिक नेपाल
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08afee3afa.wav,आठमध्ये छ द्वार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\082df6d263.wav,आठ हजार भन्दा बढी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08816749f0.wav,आदिवासी जनजातिहरू
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087c0d9762.wav,आन्दोलनले शक्ति प्राप्ति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08088d67fe.wav,आबद्ध छन् जुन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0828f0dfff.wav,आमा किरण यादवको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08d0cbc745.wav,आयोजना पृष्ठ हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\083aba34b9.wav,आरम्भ गरेर विजया
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08e26dbdb0.wav,आराधना तन मन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08c649a4f2.wav,आश्रममा भएको मौका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0834b8ca12.wav,इक्जिबा तथा कथित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08b6c85d17.wav,इतिहास लेख्दैनन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0806cc8e4f.wav,इन्दिवर बडालज्यू हामी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0848cdece6.wav,इलम सुरु भयो
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0842a19e59.wav,उक्त माछा जब
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0872f8d353.wav,उठेका सिताराहरू चिप्स
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\083b04255c.wav,उत्पन्न भएमा कृपया
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\084c502925.wav,उत्पादन गर्न चाहन्थे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087dfdcd3e.wav,उनका एक छोरा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\085b0bd23a.wav,उनका गीतको मेलोडीलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0894f26fc4.wav,उनको आमा फिलिपिन्सकी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\081d770862.wav,उनको सोच कहिल्यै भएन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08af4d1034.wav,उनलाई दिल्ली राज्यको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0804addbec.wav,उनलाई मानार्थ आजीवन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08daecfdf2.wav,उनी कवीरसँग भेट्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08fd61ef3b.wav,उनी कवीरसँग भेट्न
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08d35854fa.wav,उनी दुःखी भए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08ed85e619.wav,उनी पशुपन्छीको भाषा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0808625a62.wav,उनी राजनीतिक अभियान
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08df53b5f8.wav,उनी संयुक्त राज्य
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087d03d555.wav,उनीहरूले दुधको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0836abebab.wav,उपनगरीय जीवनलाई आप्रवासीहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0881594af1.wav,उपनिषद् केवल दार्शनिक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08627a4011.wav,उपयुक्त विभागहरूमा उचित
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08ea7b1b0c.wav,उपरोक्त लेखको पुनरावृत्ति
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0808c72888.wav,उपाधि भनिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\088407eb82.wav,उपाध्यक्ष पनि हुन्
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\084f8770e0.wav,उमारिएको विभिन्न किसिमको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08d8a5f987.wav,उसमाथि अनुचित व्यवहार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0864d637d0.wav,उहाँको विशेष रुचि छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\084a3a0e0d.wav,उहाँ माओवादीमा प्रवेश
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08e2af0fa7.wav,एउटा विचार राखेको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0890fd7257.wav,एउटै हातका औंलाका
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\089c111538.wav,एकअन्तर्गत ११ वडामा
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\085f7e936a.wav,एक गैरसरकारी संस्था
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0870c1f4d1.wav,एक दृश्यमा उनलाई
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\082e15f43e.wav,एकमत भएको देखिन्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0894c33dde.wav,एनएबल्ड गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\085dc3f0aa.wav,एम ३१
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\081237a4fd.wav,औषत तापक्रम
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\087ecfd42a.wav,औषधि निर्माता कम्पनी
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0818a3c7b1.wav,कठिन छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0822f13b86.wav,कति सारल छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0824ea3b86.wav,कन्ट्रोल गर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0816d3cef0.wav,कन्नोजबाट आएको थिए
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08c45f1187.wav,कम्पनीको सहसंस्थापक
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08b1f5479c.wav,कम्पनीको स्थापना गरे
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08308d9639.wav,कल्प्यो हे गुरुदेव
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\083feb2591.wav,कष्ट र तनाव भोग्नुपर्छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\089310a373.wav,कहिल्यै पनि थोप्लाहरूको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\085905742c.wav,काभ्रे जिल्ला पर्दछ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\088005306e.wav,काम कारवाही गर्ने
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\084118ab30.wav,काम गरिराखेको छैन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08db38b1f0.wav,कामी थामी दमाईं
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08748ce991.wav,कारण या बाहिरबाट
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0870813051.wav,कालमा हिन्दु अनि
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08beb7042d.wav,कालसित सम्बद्ध छ
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\081284ee02.wav,कावेरी नदीका किनार
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\08dabd1b27.wav,कास्कीबाट चितवन
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0891034b1b.wav,कि जस दलको
d:\nepali_notetaker_project\nepali_notetaker_package\DataSet\asr_nepali_0\asr_nepali\data\08\processed_wav\0829835d69.wav,किम जोङ उनको
